Architecture,Size,Average Reward,Average Steps,Max steps,Failure Rate (Max Steps),Average Reward (if not max steps),Average step (Success),Failure Rate (Wrong Door),Success
MAMBA,8x8,54.78%,28.7,64,11.76%,62.09%,24.0,4.90%,83.33%
MAMBA,9x9,58.33%,34.9,81,9.00%,63.99%,30.4,3.00%,88.00%
MAMBA,10x10,41.66%,55.0,100,28.43%,58.21%,37.1,7.84%,63.73%
MAMBA,13x13,35.50%,87.5,169,27.45%,48.93%,56.7,17.65%,54.90%
MAMBA,15x15,29.87%,132.0,225,36.27%,46.88%,79,16.67%,47.06%
MAMBA,20x20,20.46%,253.9,400,41.18%,34.78%,151.6,24.51%,34.31%
LSTM,8x8,26.09%,39.3,64,26.00%,35.26%,30.6,20.00%,54.00%
LSTM,9x9,24.35%,45.8,81,23.00%,31.49%,35.3,27.00%,50.00%
LSTM,10x10,11.16%,64.8,100,41.00%,18.92%,40.4,31.00%,28.00%
LSTM,13x13,6.23%,121.8,169,56.00%,13.93%,61.7,28.00%,16.00%
LSTM,15x15,3.75%,166.0,225,57.00%,8.72%,87.9,29.00%,14.00%
LSTM,20x20,2.15%,308.3,400,65.00%,6.14%,138.1,17.00%,18.00%
TRANSFORMER,8x8,38.60%,37.7,64,30.00%,55.14%,26.4,7.00%,63.00%
TRANSFORMER,9x9,35.32%,51.3,81,35.00%,54.34%,35.2,7.00%,58.00%
TRANSFORMER,10x10,28.97%,70.0,100,39.00%,47.49%,50.8,9.00%,52.00%
TRANSFORMER,13x13,9.63%,133.4,169,61.00%,24.69%,77.7,21.00%,18.00%
TRANSFORMER,15x15,4.72%,176.4,225,61.00%,12.10%,100.4,30.00%,9.00%
TRANSFORMER,20x20,1.18%,354.5,400,74.00%,4.54%,224.9,2.00%,1.18%
